description,category,source_bank,transaction_type
TRF KE KARTINI SARI PATUNGAN WISATA,transfer_sosial,CIMB,transfer
KIRIM UANG ISTRI ZAKI ABDILLAH,transfer_keluarga,Permata,transfer
PEMBAYARAN GRABFOOD,makanan,BSI,debit
IPY KAI ACCESS,transport,Permata,debit
NP SUPERINDO PBR,belanja,BRI,debit
QRIS PMT PARKIR SOL,transport,Permata,debit
DB VIDIO PREMIER,hiburan,BNI,debit
PEMBAYARAN SHOPEEFOOD,makanan,BRI,debit
DB MAXIM RIDE,transport,Mandiri,debit
IPY SHOPEE,belanja,Permata,debit
QRIS PMT KURSUS KOMPUTER,pendidikan,Permata,debit
BAYAR TAGIHAN IURAN IPL APARTEMEN,tagihan,CIMB,debit
TRSF E-BANKING DB GOP,topup_ewallet,CIMB,transfer
PYMNT SPOTIFY PREMIUM,hiburan,BNI,debit
AUTODEBET PLN PREPAID,tagihan,Danamon,debit
PYMNT VIDIO PREMIER,hiburan,BNI,debit
IPY GRABFOOD,makanan,Mandiri,debit
IPY ZALORA,belanja,BNI,debit
BYR TAGIHAN TELKOMSEL HALO,tagihan,Permata,debit
BYR TAGIHAN CICILAN KPR BTN,tagihan,BCA,debit
SWITCHING DB PDAM TIRTA JAYA,tagihan,BCA,debit
QRIS SATE KHAS SENAYAN,makanan,Permata,debit
PEMBAYARAN GOFOOD,makanan,Permata,debit
DB TRAVELOKA EATS FOOD,makanan,Danamon,debit
NP ERIGO MDN,belanja,BRI,debit
DB EDC LABORATORIUM PRAMITA,kesehatan,Permata,debit
BYR BIAYA WISUDA 9176510107,pendidikan,Mandiri,debit
DB AQIQAH,lainnya,Mandiri,debit
AUTODEBET CICILAN ADIRA FINANCE,tagihan,BCA,debit
BYR VIA M-BANKING PDAM KOTA,tagihan,BCA,debit
RESTO TOMORO COFFEE SMG,makanan,CIMB,debit
BYR PET SHOP 139961,lainnya,BCA,debit
KONDANGAN PERNIKAHAN PUTRI MAHARANI,transfer_sosial,Mandiri,transfer
QRIS PMT INDOMARET BDG,belanja,Mandiri,debit
DB EDC RS MEDISTRA,kesehatan,BSI,debit
PEMBAYARAN LAZADA ORDER,belanja,CIMB,debit
TRSF E-BANKING DB 9430404059 ENDAH PURWANTI,transfer_sosial,BNI,transfer
QRIS PMT KURSUS LIA LANGUAGE,pendidikan,Permata,debit
TRSF E-BANKING DB KURSUS BAHASA EF ENGLISH,pendidikan,Danamon,debit
TRSF E-BANKING DB GRABFOOD,makanan,Danamon,debit
DB TRAVELOKA EATS FOOD,makanan,Permata,debit
DB E-TOLL PLB,transport,Permata,debit
makan a&w restaurant lpg,makanan,BNI,debit
TOP UP LINKAJA 564757,topup_ewallet,LinkAja,ewallet
TRANSFER KE BUDI SANTOSO NAFKAH BULANAN,transfer_keluarga,BSI,transfer
PBK GIRO KE TABUNGAN 8081825978,transfer_internal,BSI,transfer
BIAYA HIDUP KELUARGA GILANG RAMADHAN,transfer_keluarga,BCA,transfer
TRSF DEBIT 60448444,tidak_diketahui,Mandiri,transfer
SWITCHING DB YOUTUBE PREMIUM,hiburan,BNI,debit
KIRIM UANG ISTRI KURNIA SARI,transfer_keluarga,Danamon,transfer
BYR CICILAN FIF MOTOR 7925154852,tagihan,Mandiri,debit
TRF KE DINA FITRIANI PATUNGAN WISATA,transfer_sosial,BCA,transfer
BYR FOTOKOPI PRINT 75628988,lainnya,BSI,debit
TRSF E-BANKING DB KURSUS MUSIK YAMAHA,pendidikan,Danamon,debit
vis solaria bgr,makanan,Mandiri,debit
TRF PATUNGAN ZAHRA NURLAILA,transfer_sosial,BNI,transfer
KIRIM KE ADIK KARTINI SARI 5794323394,transfer_keluarga,CIMB,transfer
DB SMARTFREN,tagihan,BNI,debit
NP ALFAMIDI SBY,belanja,BRI,debit
kirim nafkah sari indah,transfer_keluarga,Mandiri,transfer
BYR VIA M-BANKING BIZNET HOME,tagihan,Permata,debit
TRANSFER KAS RT PANDU ADITYA,transfer_sosial,BNI,transfer
TRF ARISAN SURYA DARMA 746078,transfer_sosial,BRI,transfer
IPY TRAVELOKA EATS,makanan,Permata,debit
BAYAR TAGIHAN CICILAN KENDARAAN,tagihan,BCA,debit
TRAVELOKA EATS,makanan,BCA,debit
PYMNT TRAVELOKA,transport,BNI,debit
BAYAR TAGIHAN XL AXIATA,tagihan,BNI,debit
BAYAR KLINIK RS SILOAM CRB,kesehatan,Danamon,debit
KIRIMAN IBU HADI SUSANTO 6316125721,transfer_keluarga,Permata,transfer
TOP UP LinkAja VIA Mandiri,topup_ewallet,LinkAja,ewallet
DB  SOLARIA MKS,makanan,CIMB,debit
PEMBAYARAN GOFOOD,makanan,Danamon,debit
QRIS  PMT PARKIR LPG,transport,Permata,debit
KIRIMAN BULANAN SUAMI NURI RAHAYU,transfer_keluarga,Danamon,transfer
DB ZENIUS EDUCATION,pendidikan,BCA,debit
DB E-TOLL TNG,transport,CIMB,debit
NP ZAKAT INFAQ MKS,lainnya,BRI,debit
KIRIMAN IBU VINA OKTAVIA 0894033457,transfer_keluarga,BCA,transfer
QRIS PMT BIMBEL NEUTRON,pendidikan,BRI,debit
NP AHASS HONDA TNG,transport,BRI,debit
DB PET SHOP 351,lainnya,BNI,debit
VIS GIANT HYPERMARKET,belanja,Mandiri,debit
DEBIT EDC SHELL SPBU MLG,transport,Mandiri,debit
BYR KURSUS LIA LANGUAGE 75401965,pendidikan,Danamon,debit
QRIS PMT ACE HARDWARE BKS,belanja,BRI,debit
BYR KURSUS BAHASA EF ENGLISH 747546,pendidikan,BSI,debit
TOP UP OVO VIA BRI,topup_ewallet,OVO,ewallet
DB FIRSTMEDIA,tagihan,BSI,debit
QRIS PMT FISIOTERAPI KLINIK MDN,kesehatan,BCA,debit
TIKET.COM TIKET,transport,Mandiri,debit
TRSF E-BANKING DB GOPAY 035859,topup_ewallet,GoPay,ewallet
QRIS PMT LABORATORIUM PRODIA SBY,kesehatan,Mandiri,debit
DB PLN TOKEN LISTRIK,tagihan,CIMB,debit
NP DOMINO'S PIZZA BPN,makanan,BRI,debit
IPY BPJSTK 221759,tagihan,CIMB,debit
APY FIRSTMEDIA 3916216484,tagihan,BCA,debit
SWITCHING DB Mandiri 5807551515 SARI INDAH,transfer_sosial,BNI,transfer
ipy maxim,transport,CIMB,debit
TRSF E-BANKING DB BARBERSHOP,lainnya,Danamon,debit
QRIS PMT BAKSO MALANG MKS,makanan,BNI,debit
PYMNT GARENA TOP UP,hiburan,Permata,debit
AUTODEBET TAGIHAN INTERNET INDIHOME,tagihan,Mandiri,debit
TAGIHAN INDIHOME TELKOM,tagihan,Permata,debit
BYR SEDEKAH 420981,lainnya,Permata,debit
DB GOFOOD ORDER,makanan,BSI,debit
PYMNT SHOPEEFOOD,makanan,Danamon,debit
MAKAN AYAM GEPREK BENSU YK,makanan,CIMB,debit
SUMBANGAN MASJID NURI RAHAYU,transfer_sosial,CIMB,transfer
DB TRF 1201298371,tidak_diketahui,BNI,transfer
TRANSFER KAS RT AHMAD FAUZI,transfer_sosial,Mandiri,transfer
IPY TRI HUTCHISON 128755528076,tagihan,Mandiri,debit
DEBIT EDC PERIPLUS BOOKSTORE BKS,pendidikan,Permata,debit
TRSF E-BANKING DB UKT SEMESTER GENAP 753,pendidikan,BSI,debit
DB VIDIO PREMIER,hiburan,Permata,debit
TRSF E-BANKING DB ASURANSI JIWA,lainnya,BSI,debit
TRSF E-BANKING DB SPOTIFY PREMIUM,hiburan,BCA,debit
BAYAR KLINIK OPTIK  MELAWAI PBR,kesehatan,BCA,debit
PMT SPP SMA,pendidikan,BCA,debit
PYMNT SEHATQ,kesehatan,Danamon,debit
IPY BIAYA KULIAH SWASTA,pendidikan,CIMB,debit
DB TAGIHAN BPJS KESEHATAN,tagihan,Permata,debit
VIS MIXUE BKS,makanan,Mandiri,debit
DB SUNATAN,lainnya,Mandiri,debit
PLN TOKEN LISTRIK 212213298366,tagihan,BCA,debit
TRSF E-BANKING DB SHOPE,makanan,BRI,debit
DB INDIHOME TELKOM,tagihan,BCA,debit
TRSF E-BANKING DB SPP SMA,pendidikan,Mandiri,debit
DB SHOPEEFOOD FOOD,makanan,Danamon,debit
BULANAN KE ZAKI ABDILLAH,transfer_keluarga,BSI,transfer
TRSF E-BANKING DB GRAB,transport,Permata,debit
PRC MARUGAME UDON BDG,makanan,BCA,debit
TRSF E-BANKING DB BUKALAPAK,belanja,BSI,debit
DB TOPUP EWALLET LinkAja,topup_ewallet,LinkAja,ewallet
DB EDC APOTEK VIVA GENERIK,kesehatan,CIMB,debit
SWITCHING DB TOL SBY,transport,BCA,debit
NP HAPPY PUPPY KTV SMG,hiburan,BRI,debit
VIS ES TEH INDONESIA TNG,makanan,Mandiri,debit
SA OB TABUNGAN BISNIS,transfer_internal,Mandiri,transfer
PRC H&M BPN 941,belanja,Mandiri,debit
IPY CICILAN ADIRA FINANCE 487450176468,tagihan,Danamon,debit
RESTO KFC BGR,makanan,BSI,debit
DONASI SARI INDAH 415514,transfer_sosial,Permata,transfer
DB PET SHOP,lainnya,BNI,debit
PATUNGAN ULANG TAHUN JOKO WIDODO,transfer_sosial,Danamon,transfer
QRIS PMT KLINIK GIG,kesehatan,BSI,debit
PYMNT ZENIUS EDUCATION,pendidikan,Danamon,debit
DONASI SOSIAL RATNA SARI,transfer_sosial,BSI,transfer
PEMBELIAN E-MONEY GoPay,topup_ewallet,GoPay,ewallet
TRSF E-BANKING DB APPLE STORE 316,hiburan,Danamon,debit
DB E-TOLL PLB,transport,Danamon,debit
PYMNT TRAVELOKA EATS,makanan,BNI,debit
QRIS PMT BIMBEL PRIMAGAMA,pendidikan,BSI,debit
PYMNT BLIBLI,belanja,BNI,debit
DB BUKALAPAK BELANJA,belanja,Danamon,debit
DB TIKTOK SHOPBELANJA,belanja,CIMB,debit
QRIS PMT APOTEK GUARDIAN DPS 920,kesehatan,CIMB,debit
QRIS PMT AHASS HONDA SMG,transport,Permata,debit
PYMNT XL PRABAYAR 9177509,tagihan,BCA,debit
TRSF NAFKAH IRA YUNITA BULANAN,transfer_keluarga,BCA,transfer
qris pmt nav karaoke dpk,hiburan,BSI,debit
DEBIT EDC APOTEK KIMIA FARMA SOL,kesehatan,BRI,debit
IPY STEAM PURCHASE,hiburan,Danamon,debit
TRSF NAFKAH DINA FITRIANI BULANAN,transfer_keluarga,BCA,transfer
KIRIM KONDANGAN YANTI PERMATA,transfer_sosial,Danamon,transfer
DB EDC SHELL SPBU,transport,Danamon,debit
DB EDC NEW ERA DPK,belanja,BSI,debit
TRSF E-BANKING DB DONASI PMI,lainnya,BNI,debit
TRSF NAFKAH RINA WATI BULANAN,transfer_keluarga,BNI,transfer
INFAQ JUMAT 545767,transfer_sosial,BSI,transfer
SUMBANGAN MASJID HENDRA GUNAWAN,transfer_sosial,Mandiri,transfer
TRSF E-BANKING DB SKILL ACADEMY,pendidikan,BSI,debit
TRSF E-BANKING DB XL PRABAYAR 502,tagihan,Danamon,debit
BIAYA BEROBAT APOTEK VIVA GENERIK,kesehatan,CIMB,debit
KIRIM UANG ISTRI TIKA RAHMADHANI,transfer_keluarga,BRI,transfer
TRANSFER BELANJA KELUARGA EKO PRASETYO,transfer_keluarga,BSI,transfer
QRIS PMT  PARKIR SOL,transport,BCA,debit
PRC LAWSON PLB,belanja,BRI,debit
IPY LINKEDIN LEARNING,pendidikan,BRI,debit
QRIS PMT YAMAHA SERVICE SOL,transport,BRI,debit
TRF ARISAN EKO PRASETYO 523478,transfer_sosial,BCA,transfer
DB SHOPEEFOOD FOOD,makanan,BRI,debit
IPY GRABFOOD,makanan,Mandiri,debit
DEBIT EDC APOTEK CENTURY SBY,kesehatan,BCA,debit
PYMNT TAGIHAN GAS PGN 652393,tagihan,Mandiri,debit
DEBIT EDC WARUNG NASI GORENG YK,makanan,BSI,debit
KONDANGAN PERNIKAHAN RATNA SARI,transfer_sosial,BRI,transfer
QRIS PMT PARKIR PLB,transport,BRI,debit
RETAIL RAMAYANA PBR,belanja,BNI,debit
ipy dokterku,kesehatan,BNI,debit
IPY TIKET.COM,transport,BRI,debit
DB GOJEK RIDE,transport,Mandiri,debit
EDC LES PRIVAT MLG,pendidikan,Danamon,debit
DB SHOPEEFOOD ORDER,makanan,Permata,debit
BIAYA BEROBAT APOTEK WATSONS 030,kesehatan,Danamon,debit
SWITCHING DB TOPUP OVO,topup_ewallet,OVO,ewallet
AUTODEBET PDAM KOTA,tagihan,Permata,debit
PYMNT TAGIHAN LISTRIK PLN 89075007,tagihan,Danamon,debit
trf 2289253711 bni,tidak_diketahui,BNI,transfer
PEMBAYARAN QRIS SUSHI TEI,makanan,Permata,debit
IPY GRABFOOD,makanan,BSI,debit
SA IB PRIMA Dr Trf GOPAY,topup_ewallet,GoPay,ewallet
DB EDC WARUNG NASI GORENG CRB,makanan,BNI,debit
PEMBAYARAN SHOPEEFOOD,makanan,BCA,debit
PEMBAYARAN SHOPEEFOOD,makanan,BRI,debit
TRSF E-BANKING DB 0815755690 SURYA DARMA RUTIN,transfer_keluarga,BRI,transfer
BIAYA HIDUP KELUARGA BUDI SANTOSO,transfer_keluarga,Danamon,transfer
KIRIMAN BULANAN SUAMI SARI INDAH,transfer_keluarga,BCA,transfer
TRSF E-BANKING DB TRAVELOKA,transport,BSI,debit
TRF IURAN RT YUSUF RAHMAN 3944290395,transfer_sosial,CIMB,transfer
QRIS PMT PARKIR LPG,lainnya,BRI,debit
KIRIMAN BULANAN SUAMI LESTARI  NINGRUM,transfer_keluarga,Danamon,transfer
BYR CICILAN KENDARAAN 625194 664,tagihan,BCA,debit
NP DUFAN PLB,hiburan,BRI,debit
IPY GARENA TOP UP,hiburan,BRI,debit
BYR KURSUS KOMPUTER 3042385858,pendidikan,BCA,debit
BIAYA BEROBAT APOTEK GUARDIAN,kesehatan,Danamon,debit
TRSF E-BANKING DB BIAYA UJIAN NASIONAL,pendidikan,BNI,debit
TRSF E-BANKING DB 6843849565,tidak_diketahui,BRI,transfer
TRSF E-BANKING DB DONASI PMI,lainnya,Danamon,debit
PEMBAYARAN RAWAT APOTEK WATSONS,kesehatan,BRI,debit
PRC HOKBEN SOL,makanan,BSI,debit
DB E-TOLL BPN,transport,Mandiri,debit
NP AQIQAH BKS,lainnya,BRI,debit
AUTODEBET TELKOMSEL KARTU AS,tagihan,Permata,debit
DB WARUNG PADANG SEDERHANA SBY,makanan,Danamon,debit
QRIS PMT BIAYA WISUDA,pendidikan,BNI,debit
TRF RUTIN BULANAN FAJAR SIDIQ 7540156469,transfer_keluarga,Danamon,transfer
pembayaran qris kopitiam,makanan,Permata,debit
BAYAR KLINIK PUSKESMAS BTM,kesehatan,BNI,debit
KIRIM KE ADIK JULIANA PUTRI 5727496220,transfer_keluarga,BRI,transfer
IPY MAXIM,transport,CIMB,debit
AUTODEBET BPJS KESEHATAN,tagihan,Permata,debit
TRF BULANAN KE NURI RAHAYU,transfer_keluarga,BRI,transfer
QRIS PMT LABORATORIUM CITO MLG,kesehatan,CIMB,debit
TRF IURAN RT LESTARI NINGRUM 4014494828,transfer_sosial,BNI,transfer
PYMNT TELKOMSEL SIMPATI 704477844225,tagihan,BSI,debit
NP WATERBOM YK,hiburan,BRI,debit
IPY TAGIHAN KARTU KREDIT BCA 568181,tagihan,Danamon,debit
DEBIT EDC APOTEK VIVA GENERIK BPN,kesehatan,BNI,debit
IPY GARENA TOP UP,hiburan,BCA,debit
PATUNGAN ULANG TAHUN WAHYU HIDAYAT,transfer_sosial,Permata,transfer
DB KAI ACCESS RIDE,transport,BNI,debit
DB YOSHINOYA MKS,makanan,BNI,debit
IPY SHOPEEFOOD,makanan,CIMB,debit
DONASI MEGA PUSPITA 822539 789,transfer_sosial,CIMB,transfer
NP CUCI MOBIL PLB,lainnya,BRI,debit
TRANSFER ANAK KOS TONO HARTONO,transfer_keluarga,Mandiri,transfer
TRANSFER KAS RT FAJAR SIDIQ,transfer_sosial,BSI,transfer
SA IB PRIMA Dr Trf 4391079082,tidak_diketahui,BCA,transfer
PEMBAYARAN GOFOOD,makanan,Danamon,debit
BYR UKT SEMESTER GENAP 510527,pendidikan,BSI,debit
DB EDC LABORATORIUM PRAMITA,kesehatan,BNI,debit
SWITCHING DB INDOSAT OOREDOO,tagihan,Permata,debit
DEBIT EDC ALFAMIDI PLB,belanja,Permata,debit
KIRIMAN AYAH VINA OKTAVIA,transfer_keluarga,BSI,transfer
DB BOBA THAI TEA MLG,makanan,BRI,debit
QRIS PMT PERIPLUS BOOKSTORE,pendidikan,BNI,debit
IPY BUKALAPAK,belanja,Mandiri,debit
DB EDC PERTAMINA SPBU,transport,Danamon,debit
BYR BPJS KETENAGAKERJAAN 27170324,tagihan,Danamon,debit
DB EDC BP SPBU,transport,CIMB,debit
MAKAN YOSHINOYA MDN 336,makanan,BNI,debit
SWITCHING DB PDAM KOTA,tagihan,Mandiri,debit
DB E-TOLL BGR,transport,BNI,debit
BPJS KETENAGAKERJAAN 7679335857,tagihan,CIMB,debit
SA OB CA TABUNGAN KE DEPOS,transfer_internal,Mandiri,transfer
DB EDC APOTEK CENTURY,kesehatan,Danamon,debit
BYR TAGIHAN TRI HUTCHISON,tagihan,BRI,debit
DB DISNEY+ HOTSTAR,hiburan,BSI,debit
BAYAR TAGIHAN CICILAN KPR BTN,tagihan,CIMB,debit
PYMNT SKILL ACADEMY,pendidikan,BRI,debit
E-BANKING DB BIMBEL ONLINE,pendidikan,Danamon,debit
TRF 727922 Danamon,tidak_diketahui,DANA,ewallet
PYMNT VIDIO PREMIER,hiburan,BCA,debit
QRIS PMT GOLD GYM BTM,hiburan,BRI,debit
VIS DAISO,belanja,Mandiri,debit
DEBIT EDC LABORATORIUM PRAMITA YK,kesehatan,Danamon,debit
DB EDC WATERBOM,hiburan,BCA,debit
DB SEDEKAH,lainnya,BRI,debit
PYMNT TRAVELOKA EATS,makanan,Permata,debit
AUTODEBET AXIS,tagihan,BSI,debit
QRIS PMT HYPERMART JKT,belanja,Permata,debit
IPY MAXIM,transport,CIMB,debit
E-BANKING DB TOGA MAS,pendidikan,BCA,debit
PRC UNIQLO MKS,belanja,CIMB,debit
ipy gramedia bookstore,pendidikan,BCA,debit
PEMBAYARAN INDOSAT IM3 47645581,tagihan,BNI,debit
DB EDC TIMEZONE,hiburan,BNI,debit
SWITCHING DB  UNIPIN,hiburan,BSI,debit
TRSF E-BANKING DBSALON,lainnya,BRI,debit
DB WARUNG KOPI TNG,makanan,BSI,debit
PYMNT RUANGGURU,pendidikan,Danamon,debit
DB EDC LABORATORIUM CITO,kesehatan,BCA,debit
SWITCHING DB XL PRABAYAR,tagihan,BNI,debit
VIS HERO SUPERMARKET,belanja,Mandiri,debit
RETAIL HERO SUPERMARKET BPN,belanja,BRI,debit
DEBIT EDC EXPRESS TAXI DPS,transport,BCA,debit
TRANSFER ANTAR REK BRI,transfer_internal,Danamon,transfer
TRSF E-BANKING DB DUOLINGO PLUS,pendidikan,Permata,debit
DB GRABFOOD FOOD,makanan,BCA,debit
PEMBAYARAN RAWAT RS MEDISTRA,kesehatan,BSI,debit
QRIS PMT PARKIR BDG,transport,Permata,debit
FOOD MARUGAME UDONSBY,makanan,BRI,debit
DB EDC RS ADVENT,kesehatan,BRI,debit
TOP UP OVO VIA ,topup_ewallet,OVO,ewallet
DEBIT EDC APOTEK W,kesehatan,Danamon,debit
DB TRAVELOKA TIKET 645,transport,Mandiri,debit
PEMBAYARAN RAWAT APOTEK K24,kesehatan,Permata,debit
IPY TRAVELOKA EATS,makanan,Danamon,debit
PEMBAYARAN QRIS KAFE KITA,makanan,BRI,debit
QRIS PMT PARKIR JKT,transport,BRI,debit
TRF KE DANA 053049,topup_ewallet,DANA,ewallet
BIAYA BEROBAT OPTIK MELAWAI,kesehatan,BRI,debit
PYMNT YOUTUBE PREMIUM,hiburan,Danamon,debit
FOOD HOKA HOKA BENTO PBR,makanan,Mandiri,debit
TRSF E-BANKING DB GOPAY 114452836531,topup_ewallet,GoPay,ewallet
QRIS PMT H&M LPG,belanja,CIMB,debit
IPY TIKET.COM,transport,Permata,debit
BYR VIA M-BANKING PLN PREPAID,tagihan,CIMB,debit
NP NAV KARAOKE BTM,hiburan,BRI,debit
SA IB PRIMA Dr Trf 8360286533 KARTINI SARI,transfer_keluarga,BCA,transfer
PRC SABANA FRIED CHICKEN PBR,makanan,CIMB,debit
TRF UANG JAJAN ANAK INDRA KUSUMA,transfer_keluarga,Mandiri,transfer
OVERBOOKING BRI INTERNAL,transfer_internal,Mandiri,transfer
SA IB PRIMA Dr Trf GOPAY,topup_ewallet,GoPay,ewallet
IPY UANG PANGKAL SEKOLAH,pendidikan,BCA,debit
PYMNT SHOPEE,belanja,Danamon,debit
PEMBAYARAN GOFOOD,makanan,CIMB,debit
NP RUMAH SAKIT UMUM SOL,kesehatan,BRI,debit
TRSF E-BANKING DB PLN PASCABAYAR,tagihan,CIMB,debit
DB TOKOPEDIA BELANJA,belanja,CIMB,debit
BYR TAGIHAN INTERNET INDIHOME 30636545,tagihan,BSI,debit
BYR VIA M-BANKING PLN PASCABAYAR,tagihan,BRI,debit
QRIS PMT BIMBEL ONLINE,pendidikan,BNI,debit
IPY PERIPLUS BOOKSTORE,pendidikan,BNI,debit
QRIS PMT CONVERSE STORE BKS,belanja,Permata,debit
NP PET SHOP MKS,lainnya,BRI,debit
FOOD WARUNG KOPI CRB,makanan,BNI,debit
QRIS PMT SPP SMA,pendidikan,Danamon,debit
QRIS PMT KLINIK ESTETIKA BKS,kesehatan,Danamon,debit
DB EDC GUARDIAN DPK,belanja,BCA,debit
BYR VIA M-BANKING BPJS KETENAGAKERJAAN,tagihan,Mandiri,debit
TRANSFER 3026486639,tidak_diketahui,Permata,transfer
TRANSFER BELANJA KELUARGA KURNIA SARI,transfer_keluarga,BRI,transfer
TRSF NAFKAH EKO PRASETYO BULANAN,transfer_keluarga,Permata,transfer
QRIS PMT UKT SEMESTER GENAP,pendidikan,BCA,debit
SWITCHING DB BSI 7099054412,tidak_diketahui,Permata,transfer
DB APPLE STORE,hiburan,BCA,debit
DB TRAVELOKA RIDE,transport,Permata,debit
TRF IURAN RT AHMAD FAUZI 9726300673,transfer_sosial,Danamon,transfer
KIRIMAN IBU JULIANA PUTRI 4009688999,transfer_keluarga,BCA,transfer
PRC GIANT HYPERMARKET BPN,belanja,Permata,debit
TRF KE IRA YUNITA PATUNGAN WISATA,transfer_sosial,BNI,transfer
NP HAPPY PUPPY KTV MLG,hiburan,BRI,debit
INFAQ JUMAT 743874,transfer_sosial,BRI,transfer
TRSF DB SUMBANGAN IRA YUNITA 333,transfer_sosial,Mandiri,transfer
APY LRT JABODEBEK,transport,BCA,debit
SA IB PRIMA Dr Trf GOPAY,topup_ewallet,GoPay,ewallet
QRIS PMT CINEPOLIS BDG,hiburan,BNI,debit
TRSF E-BANKING DB GOPAY 97346693,topup_ewallet,GoPay,ewallet
BYR UKT SEMESTER GENAP 3858636534,pendidikan,Mandiri,debit
SWITCHING DB APPLE STORE,hiburan,BNI,debit
PYMNT GRABFOOD,makanan,BRI,debit
DB EDC MATAHARI DEPT STORE SBY,belanja,Mandiri,debit
NP PECEL LELE LAMONGAN MLG,makanan,BRI,debit
AUTODEBET BIZNET ,tagihan,Danamon,debit
SWITCHING DB BSI 9938719392 LESTARI NIN,transfer_sosial,BCA,transfer
DB EDC LAWSON TNG,belanja,Danamon,debit
DB TOP UP EWALLET DANA,topup_ewallet,DANA,ewallet
DB SHOPEEFOOD FOOD,makanan,Permata,debit
DB EDC PUSKESMAS,kesehatan,BRI,debit
PYMNT APPLE MUSIC,hiburan,BRI,debit
TRF IURAN MUSHOLA WAHYU HIDAYAT,transfer_sosial,BSI,transfer
PYMNT CODASHOP,hiburan,Danamon,debit
donasi wati susanti 534706,transfer_sosial,BNI,transfer
PRC MATAHARI DEPT STORE DPK,belanja,Permata,debit
TRSF DB KIRIMAN KELUARGA ENDAH PURWANTI,transfer_keluarga,Permata,transfer
ipy ukt semester ganjil,pendidikan,BNI,debit
KIRIM NAFKAH TONO HARTONO,transfer_keluarga,CIMB,transfer
PRC WINGSTOP LPG,makanan,CIMB,debit
PRC KAFE KITA DPS,makanan,BNI,debit
TRSF NAFKAH YUSUF RAHMAN BULANAN,transfer_keluarga,BNI,transfer
TRF BULANAN KE UMI KALSUM,transfer_keluarga,Mandiri,transfer
BAYAR TAGIHAN CICILAN FIF MOT,tagihan,BNI,debit
DB EDC BOBA THAI TEA BPN,makanan,BRI,debit
DB GOFOOD FOOD,makanan,BCA,debit
DB EDC TRANS STUDIO BANDUNG 584,hiburan,BCA,debit
BYR BPJSTK 506439757246,tagihan,Danamon,debit
NP DOMINO'S PIZZA MDN,makanan,BRI,debit
MAKAN SUSHI TEI BDG,makanan,BNI,debit
DB GOFOOD FOOD,makanan,Permata,debit
DB COURSERA,pendidikan,BRI,debit
